file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,13,1174,14030,5323,0.196012,0.004139,69,27,1.619048,1,3,1,11.014493,24,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,13,1269,14030,5323,0.182852,0.002811,69,26,1.581395,1,4,1,13.376812,26,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,13,1248,14030,5323,0.186675,0.002673,69,22,1.446809,1,4,1,12.753623,21,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,13,1324,14030,5323,0.191981,0.003227,69,26,1.581395,1,4,1,7.565217,17,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,13,1333,14030,5323,0.189389,0.003605,69,27,1.619048,1,5,1,10.289855,17,,,,,
mao,modified,false,branch_uniform,1,1,1,1,13,1145,14030,5323,0.182414,0.003332,69,25,1.545455,1,4,1,13.652174,25,,,,,
mao,modified,false,branch_uniform,1,1,1,1,13,1152,14030,5323,0.182835,0.003562,69,27,1.619048,1,6,1,7.927536,13,,,,,
mao,modified,false,branch_uniform,1,1,1,1,13,1117,14030,5323,0.193025,0.003275,69,26,1.581395,1,4,1,14.173913,26,,,,,
mao,modified,false,branch_uniform,1,1,1,1,13,1082,14030,5323,0.194967,0.003694,69,23,1.478261,1,3,1,10.405797,21,,,,,
mao,modified,false,branch_uniform,1,1,1,1,13,1132,14030,5323,0.185614,0.003384,69,25,1.545455,1,3,1,9.42029,17,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,20,1207,14030,5323,0.276195,0.0031,69,22,1.446809,1,5,1,13,23,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,20,1155,14030,5323,0.279357,0.002775,69,24,1.511111,1,5,1,11.826087,20,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,20,1162,14030,5323,0.287312,0.002801,69,27,1.619048,1,3,1,13.231884,27,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,20,1132,14030,5323,0.277999,0.002933,69,24,1.511111,1,3,1,13.144928,22,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,20,1146,14030,5323,0.277382,0.002257,69,27,1.619048,1,4,1,14.84058,26,,,,,
mao,modified,false,branch_uniform,1,1,1,1,20,941,14030,5323,0.281202,0.002884,69,21,1.416667,1,4,1,12.811594,20,,,,,
