file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
mao,traditional,true,branch_uniform,1,1,1,1,55,944,14030,5323,0.333581,0.002761,69,19,1.360000,1,4,1,11.318841,20
mao,modified,false,branch_uniform,1,1,1,1,55,791,14030,5323,0.336069,0.002769,69,24,1.511111,1,4,1,9.623188,15
mao,modified,false,branch_uniform,1,1,1,1,55,781,14030,5323,0.336432,0.002921,69,24,1.511111,1,3,1,9.797101,18
mao,modified,false,branch_uniform,1,1,1,1,55,798,14030,5323,0.329506,0.002904,69,28,1.658537,1,4,1,9.724638,17
mao,traditional,true,branch_uniform,1,1,1,1,62,922,14030,5323,0.380095,0.013863,69,23,1.478261,1,3,1,11.188406,16
mao,traditional,true,branch_uniform,1,1,1,1,62,924,14030,5323,0.376367,0.005670,69,20,1.387755,1,3,1,13.739130,25
mao,traditional,true,branch_uniform,1,1,1,1,62,932,14030,5323,0.375395,0.003079,69,22,1.446809,1,3,1,12.811594,24
mao,modified,false,branch_uniform,1,1,1,1,62,760,14030,5323,0.368282,0.003087,69,26,1.581395,1,4,1,8.594203,14
mao,modified,false,branch_uniform,1,1,1,1,62,761,14030,5323,0.369379,0.002752,69,24,1.511111,1,4,1,10.101449,17
mao,modified,false,branch_uniform,1,1,1,1,62,762,14030,5323,0.457246,0.002462,69,25,1.545455,1,3,1,9.710145,16
mao,traditional,true,branch_uniform,1,1,1,1,67,921,14030,5323,0.617247,0.019331,69,20,1.387755,1,3,1,11.724638,21
mao,traditional,true,branch_uniform,1,1,1,1,67,921,14030,5323,0.515516,0.003133,69,20,1.387755,1,3,1,11.724638,21
mao,traditional,true,branch_uniform,1,1,1,1,67,921,14030,5323,0.909396,0.002616,69,20,1.387755,1,3,1,11.724638,21
mao,modified,false,branch_uniform,1,1,1,1,67,756,14030,5323,1.095533,0.002509,69,27,1.619048,1,4,1,9.478261,15
mao,modified,false,branch_uniform,1,1,1,1,67,756,14030,5323,0.669286,0.002706,69,27,1.619048,1,4,1,9.478261,15
mao,modified,false,branch_uniform,1,1,1,1,67,756,14030,5323,0.591495,0.002592,69,27,1.619048,1,4,1,9.478261,15
pah,traditional,true,branch_uniform,1,1,1,1,9,6014,23880,8928,0.184877,0.020107,95,36,1.593220,1,5,1,10.021053,18
pah,traditional,true,branch_uniform,1,1,1,1,9,6052,23880,8928,0.144342,0.002512,95,36,1.593220,1,4,1,12.505263,19
pah,traditional,true,branch_uniform,1,1,1,1,9,6216,23880,8928,0.141713,0.003853,95,36,1.593220,1,4,1,11.210526,21
pah,modified,false,branch_uniform,1,1,1,1,9,5558,23880,8928,0.137624,0.002546,95,38,1.649123,1,5,1,11.884211,24
pah,modified,false,branch_uniform,1,1,1,1,9,5351,23880,8928,0.138853,0.002795,95,39,1.678571,1,6,1,9.484211,17
pah,modified,false,branch_uniform,1,1,1,1,9,5355,23880,8928,0.148092,0.003095,95,35,1.566667,1,5,1,11.463158,22
pah,traditional,true,branch_uniform,1,1,1,1,19,5597,23880,8928,0.292095,0.004022,95,37,1.620690,1,6,1,15.284211,29
pah,traditional,true,branch_uniform,1,1,1,1,19,5625,23880,8928,0.267001,0.002655,95,40,1.709091,1,4,1,12.084211,19
pah,traditional,true,branch_uniform,1,1,1,1,19,5684,23880,8928,0.263742,0.002379,95,38,1.649123,1,4,1,16.389474,32
pah,modified,false,branch_uniform,1,1,1,1,19,4876,23880,8928,0.272822,0.002818,95,42,1.773585,1,8,1,10.021053,17
pah,modified,false,branch_uniform,1,1,1,1,19,4577,23880,8928,0.272754,0.003851,95,36,1.593220,1,4,1,10.200000,19
pah,modified,false,branch_uniform,1,1,1,1,19,4846,23880,8928,0.270926,0.002615,95,38,1.649123,1,5,1,8.915789,16
pah,traditional,true,branch_uniform,1,1,1,1,28,5317,23880,8928,0.397460,0.038656,95,32,1.492063,1,4,1,11.263158,20
pah,traditional,true,branch_uniform,1,1,1,1,28,5469,23880,8928,0.369714,0.002556,95,35,1.566667,1,4,1,14.178947,22
pah,traditional,true,branch_uniform,1,1,1,1,28,5357,23880,8928,0.390882,0.002594,95,39,1.678571,1,4,1,11.905263,24
pah,modified,false,branch_uniform,1,1,1,1,28,4279,23880,8928,0.369494,0.003567,95,42,1.773585,1,5,1,8.631579,17
pah,modified,false,branch_uniform,1,1,1,1,28,4382,23880,8928,0.371277,0.002646,95,45,1.880000,1,6,1,8.663158,17
pah,modified,false,branch_uniform,1,1,1,1,28,4195,23880,8928,0.371072,0.002351,95,41,1.740741,1,4,1,11.063158,24
pah,traditional,true,branch_uniform,1,1,1,1,38,5226,23880,8928,0.515331,0.020588,95,39,1.678571,1,4,1,11.789474,24
pah,traditional,true,branch_uniform,1,1,1,1,38,5209,23880,8928,0.501267,0.003126,95,40,1.709091,1,5,1,13.926316,25
pah,traditional,true,branch_uniform,1,1,1,1,38,5088,23880,8928,0.496108,0.002250,95,37,1.620690,1,4,1,12.168421,21
pah,modified,false,branch_uniform,1,1,1,1,38,3902,23880,8928,0.494912,0.002669,95,45,1.880000,1,5,1,6.126316,12
pah,modified,false,branch_uniform,1,1,1,1,38,4072,23880,8928,0.517046,0.002431,95,45,1.880000,1,5,1,7.252632,14
pah,modified,false,branch_uniform,1,1,1,1,38,4073,23880,8928,0.541061,0.023986,95,38,1.649123,1,3,1,11.505263,22
pah,traditional,true,branch_uniform,1,1,1,1,47,4912,23880,8928,0.643229,0.020363,95,31,1.468750,1,4,1,19.294737,31
pah,traditional,true,branch_uniform,1,1,1,1,47,4994,23880,8928,0.604272,0.002495,95,33,1.516129,1,3,1,13.094737,26
pah,traditional,true,branch_uniform,1,1,1,1,47,4914,23880,8928,0.635412,0.002299,95,31,1.468750,1,3,1,10.505263,19
pah,modified,false,branch_uniform,1,1,1,1,47,3787,23880,8928,0.629925,0.002922,95,41,1.740741,1,6,1,6.810526,17
pah,modified,false,branch_uniform,1,1,1,1,47,3592,23880,8928,0.598024,0.002473,95,46,1.918367,1,5,1,9.336842,17
pah,modified,false,branch_uniform,1,1,1,1,47,3746,23880,8928,0.609099,0.030045,95,45,1.880000,1,6,1,8.652632,18
pah,traditional,true,branch_uniform,1,1,1,1,57,4890,23880,8928,0.761185,0.017377,95,37,1.620690,1,4,1,11.221053,21
pah,traditional,true,branch_uniform,1,1,1,1,57,4878,23880,8928,0.731899,0.003603,95,32,1.492063,1,4,1,18.905263,37
pah,traditional,true,branch_uniform,1,1,1,1,57,4854,23880,8928,0.765468,0.003157,95,30,1.446154,1,4,1,11.231579,21
pah,modified,false,branch_uniform,1,1,1,1,57,3629,23880,8928,0.772484,0.002705,95,39,1.678571,1,4,1,11.800000,20
pah,modified,false,branch_uniform,1,1,1,1,57,3758,23880,8928,0.782237,0.003135,95,47,1.958333,1,6,1,7.684211,17
pah,modified,false,branch_uniform,1,1,1,1,57,3682,23880,8928,0.538852,0.002573,95,48,2.000000,1,5,1,9.305263,17
pah,traditional,true,branch_uniform,1,1,1,1,66,4841,23880,8928,1.025929,0.014338,95,31,1.468750,1,3,1,14.926316,25
pah,traditional,true,branch_uniform,1,1,1,1,66,4758,23880,8928,0.982893,0.003003,95,37,1.620690,1,4,1,10.368421,19
pah,traditional,true,branch_uniform,1,1,1,1,66,4750,23880,8928,0.979300,0.003215,95,35,1.566667,1,4,1,10.031579,18
pah,modified,false,branch_uniform,1,1,1,1,66,3407,23880,8928,0.972283,0.003357,95,44,1.843137,1,6,1,7.663158,14
pah,modified,false,branch_uniform,1,1,1,1,66,3373,23880,8928,0.975968,0.003304,95,40,1.709091,1,5,1,7.305263,15
pah,modified,false,branch_uniform,1,1,1,1,66,3412,23880,8928,1.025087,0.003342,95,43,1.807692,1,5,1,6.631579,14
pah,traditional,true,branch_uniform,1,1,1,1,76,4711,23880,8928,1.156896,0.021236,95,32,1.492063,1,3,1,16.368421,28
pah,traditional,true,branch_uniform,1,1,1,1,76,4720,23880,8928,1.123323,0.002957,95,33,1.516129,1,3,1,12.578947,29
pah,traditional,true,branch_uniform,1,1,1,1,76,4728,23880,8928,1.118457,0.003166,95,30,1.446154,1,3,1,14.568421,25
pah,modified,false,branch_uniform,1,1,1,1,76,3334,23880,8928,1.109618,0.004283,95,42,1.773585,1,6,1,7.326316,14
pah,modified,false,branch_uniform,1,1,1,1,76,3327,23880,8928,1.105818,0.003229,95,42,1.773585,1,6,1,9.410526,17
pah,modified,false,branch_uniform,1,1,1,1,76,3431,23880,8928,1.102737,0.003078,95,45,1.880000,1,6,1,8.031579,15
pah,traditional,true,branch_uniform,1,1,1,1,85,4634,23880,8928,0.769523,0.015496,95,30,1.446154,1,4,1,13.778947,26
pah,traditional,true,branch_uniform,1,1,1,1,85,4662,23880,8928,0.768503,0.003174,95,30,1.446154,1,3,1,11.126316,18
pah,traditional,true,branch_uniform,1,1,1,1,85,4657,23880,8928,0.782189,0.003474,95,34,1.540984,1,3,1,10.957895,21
pah,modified,false,branch_uniform,1,1,1,1,85,3253,23880,8928,0.763143,0.003616,95,46,1.918367,1,5,1,7.821053,15
pah,modified,false,branch_uniform,1,1,1,1,85,3247,23880,8928,1.233439,0.002897,95,43,1.807692,1,5,1,7.452632,16
pah,modified,false,branch_uniform,1,1,1,1,85,3232,23880,8928,1.254134,0.003216,95,45,1.880000,1,5,1,6.694737,13
pah,traditional,true,branch_uniform,1,1,1,1,93,4617,23880,8928,1.378478,0.022499,95,30,1.446154,1,4,1,17.126316,36
pah,traditional,true,branch_uniform,1,1,1,1,93,4617,23880,8928,1.364156,0.002868,95,30,1.446154,1,4,1,17.126316,36
pah,traditional,true,branch_uniform,1,1,1,1,93,4617,23880,8928,1.365933,0.003308,95,30,1.446154,1,4,1,17.126316,36
pah,modified,false,branch_uniform,1,1,1,1,93,3156,23880,8928,1.337242,0.002770,95,43,1.807692,1,5,1,8.663158,19
pah,modified,false,branch_uniform,1,1,1,1,93,3156,23880,8928,1.345742,0.003095,95,43,1.807692,1,5,1,8.663158,19
pah,modified,false,branch_uniform,1,1,1,1,93,3156,23880,8928,1.347367,0.003357,95,43,1.807692,1,5,1,8.663158,19
file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
Protein,traditional,true,branch_uniform,1,4,1,6,60,358834,682307,377176,131.002239,0.013074,601,293,1.948052,1,83,83,10.998336,29
Protein,traditional,true,branch_uniform,1,4,1,6,60,359011,682307,377176,128.989355,0.007323,601,295,1.960784,1,75,75,23.299501,59
Protein,modified,false,branch_uniform,1,4,1,6,60,363346,682307,377176,139.766021,0.008995,601,379,2.702703,1,271,271,2.647255,13
Protein,modified,false,branch_uniform,1,4,1,6,60,361861,682307,377176,133.894736,0.006282,601,381,2.727273,1,270,270,2.612313,12
Protein,traditional,true,branch_uniform,1,4,1,6,120,344912,682307,377176,224.906996,0.029826,601,283,1.886792,1,31,31,27.965058,62
Protein,traditional,true,branch_uniform,1,4,1,6,120,346335,682307,377176,224.510141,0.009096,601,278,1.857585,1,30,30,30.792013,55
Protein,modified,false,branch_uniform,1,4,1,6,120,353522,682307,377176,223.514729,0.008920,601,351,2.400000,1,196,196,4.136439,19
Protein,modified,false,branch_uniform,1,4,1,6,120,351721,682307,377176,221.025892,0.008913,601,361,2.500000,1,183,183,4.236273,17
Protein,traditional,true,branch_uniform,1,4,1,6,180,335405,682307,377176,310.332107,0.022874,601,284,1.892744,1,23,23,27.718802,47
